attack_type;target_system;outcome;timestamp;attacker_ip;target_ip;data_compromised_GB;attack_duration_min;security_tools_used;user_role;location;attack_severity;industry;response_time_min;mitigation_method
Ransomware;Cloud Service;Success;16:18.1;215.218.60.158;165.227.18.44;59.11;195;Antivirus;Contractor;Germany;1;Finance;7;Block IP
Phishing;User Account;Success;02:53.1;132.167.114.161;76.99.161.228;57.13;125;WAF;Contractor;Germany;1;Government;102;Patch
Cross-Site Scripting;Database;Failure;54:14.1;230.68.142.98;46.120.47.250;95.27;109;Firewall;Admin;USA;10;Government;49;Patch
Brute Force;Database;Failure;32:33.1;89.67.148.84;81.104.239.88;62.59;146;IDS;Employee;USA;9;Education;46;Quarantine
Zero-Day Exploit;IoT Device;Failure;40:28.1;217.61.15.124;180.77.242.190;53.82;165;SIEM;Contractor;Brazil;9;Education;118;Patch
Cross-Site Scripting;API;Failure;59:52.1;85.213.81.14;173.136.78.148;41.1;179;Antivirus;External User;Canada;3;Healthcare;135;Patch
Zero-Day Exploit;Database;Failure;19:18.1;165.0.193.217;19.228.209.85;53.65;162;Antivirus;Admin;Russia;6;Government;44;Containment
SQL Injection;Network Switch;Success;42:42.1;224.53.95.87;133.18.225.111;73.32;43;Firewall;Contractor;Australia;2;Retail;166;Reset Credentials
Malware;IoT Device;Success;17:17.1;216.82.234.14;4.183.56.78;92.19;46;SIEM;Contractor;USA;1;Energy;154;Patch
Zero-Day Exploit;Database;Failure;58:43.1;197.88.247.12;155.193.181.152;73.76;28;Firewall;Contractor;UK;1;Energy;161;Patch
SQL Injection;Database;Success;40:31.1;96.237.175.216;145.143.248.133;40.56;157;WAF;External User;UK;4;Healthcare;119;Block IP
Brute Force;Network Switch;Failure;26:45.1;106.147.20.145;158.191.28.255;56.83;38;MFA;Contractor;Russia;6;Education;22;Quarantine
Cross-Site Scripting;Web Server;Success;30:01.1;207.70.179.156;75.80.3.16;71.41;122;VPN;External User;USA;2;Education;104;Quarantine
DDoS;Email Server;Success;34:06.1;162.180.129.3;57.145.225.96;58.09;190;Endpoint Detection;Employee;Australia;9;Government;140;Block IP
DDoS;API;Success;10:57.1;60.152.227.27;231.130.51.30;1.95;81;SIEM;Contractor;Canada;1;Finance;3;Quarantine
DDoS;Network Switch;Success;04:25.1;65.91.19.204;154.207.201.74;10.95;157;Firewall;Contractor;Australia;6;Manufacturing;14;Quarantine
SQL Injection;Email Server;Success;22:43.1;192.115.22.111;94.128.21.53;74.13;236;WAF;Employee;Canada;1;Manufacturing;138;Containment
DDoS;User Account;Failure;00:24.1;171.40.9.70;85.162.155.123;30.86;43;Antivirus;External User;China;9;Finance;64;Patch
Brute Force;Cloud Service;Failure;33:47.1;174.243.64.226;83.35.232.202;14.15;239;SIEM;Employee;Australia;1;Government;110;Block IP
Ransomware;Database;Failure;30:16.1;61.77.52.45;68.44.79.70;75.88;183;Endpoint Detection;Employee;Australia;9;Government;49;Block IP
Ransomware;Database;Failure;39:12.1;11.248.189.248;74.56.213.29;32.63;7;Endpoint Detection;Admin;China;7;Finance;39;Containment
Zero-Day Exploit;Email Server;Success;31:23.1;23.150.188.56;99.45.71.204;32.2;128;SIEM;Employee;India;1;Finance;175;Patch
Phishing;Database;Failure;00:17.1;238.25.17.178;207.63.80.15;13.51;205;MFA;Contractor;Brazil;9;Technology;107;Block IP
Malware;User Account;Success;48:09.1;72.179.95.172;223.63.57.86;89.69;56;IDS;External User;Australia;6;Education;110;Block IP
Brute Force;Database;Success;18:02.1;50.10.14.53;150.120.29.182;27.54;91;VPN;Employee;Brazil;6;Energy;81;Patch
DDoS;Database;Success;42:10.1;186.38.234.189;247.128.226.206;69.69;158;VPN;External User;India;10;Manufacturing;59;Containment
DDoS;Cloud Service;Failure;05:37.1;64.49.152.183;81.175.166.83;65.84;9;Endpoint Detection;Admin;Canada;10;Energy;161;Patch
SQL Injection;Email Server;Success;56:25.1;229.46.17.138;41.12.232.2;31.22;141;Firewall;Admin;France;8;Technology;104;Quarantine
Brute Force;User Account;Success;21:24.1;187.139.119.229;204.111.131.128;73.16;116;Antivirus;Contractor;India;3;Education;91;Block IP
Zero-Day Exploit;Cloud Service;Failure;28:58.1;34.172.153.152;230.222.85.50;67.83;291;Antivirus;Employee;India;7;Energy;64;Block IP
Ransomware;Database;Success;53:15.1;123.158.53.99;232.216.170.250;43.28;39;IDS;Contractor;Brazil;5;Retail;92;Block IP
Cross-Site Scripting;IoT Device;Success;08:41.1;55.144.1.94;186.20.168.134;13.04;256;IDS;External User;USA;3;Government;52;Containment
SQL Injection;Web Server;Failure;49:21.1;222.201.150.120;173.223.251.96;62.98;267;VPN;External User;India;8;Energy;24;Quarantine
SQL Injection;Cloud Service;Failure;12:07.1;150.99.192.77;1.10.167.28;8.18;207;Endpoint Detection;Contractor;China;4;Retail;2;Quarantine
Brute Force;Cloud Service;Failure;51:16.1;82.204.85.207;84.152.240.235;12.14;208;IDS;Admin;India;6;Energy;132;Block IP
Cross-Site Scripting;API;Failure;30:02.1;155.30.178.235;232.25.101.7;14.08;192;Firewall;External User;Canada;2;Government;90;Quarantine
Phishing;Cloud Service;Success;14:28.1;82.231.66.33;112.22.39.165;9.04;86;Firewall;External User;Russia;5;Retail;127;Patch
Malware;Network Switch;Failure;38:28.1;237.185.152.11;236.28.0.1;67.04;55;MFA;External User;Canada;10;Energy;62;Reset Credentials
SQL Injection;IoT Device;Failure;29:48.1;149.2.68.53;216.81.241.7;11.5;163;SIEM;Contractor;Brazil;4;Education;153;Reset Credentials
Brute Force;User Account;Failure;04:53.1;65.12.128.113;89.137.51.64;41.54;148;SIEM;Employee;India;9;Retail;177;Reset Credentials
Cross-Site Scripting;Email Server;Success;11:53.1;197.217.170.32;40.246.21.180;70.21;232;WAF;Employee;Australia;7;Manufacturing;5;Quarantine
Phishing;Network Switch;Failure;40:33.1;140.184.42.122;234.148.112.209;36.16;247;VPN;External User;Brazil;6;Manufacturing;126;Quarantine
Phishing;Email Server;Failure;42:25.1;81.58.46.94;115.40.161.235;65.38;222;Antivirus;Contractor;Brazil;9;Technology;67;Block IP
Malware;Cloud Service;Success;33:39.1;18.167.81.16;12.11.24.134;89.46;50;IDS;External User;France;4;Finance;160;Block IP
Cross-Site Scripting;Web Server;Success;19:59.1;202.215.133.136;246.146.213.94;85.68;30;MFA;Employee;Russia;2;Healthcare;135;Block IP
Ransomware;Network Switch;Failure;27:17.1;63.193.22.217;181.57.154.71;39.28;254;SIEM;Contractor;China;10;Healthcare;173;Reset Credentials
Brute Force;Network Switch;Failure;51:46.1;41.232.252.155;73.37.29.122;73.26;173;Firewall;External User;China;5;Healthcare;53;Patch
Cross-Site Scripting;Database;Failure;51:38.1;66.49.109.181;147.137.43.73;31.72;217;WAF;Employee;India;6;Technology;95;Block IP
Cross-Site Scripting;Cloud Service;Success;18:44.1;77.104.247.196;86.145.105.148;23.43;70;Firewall;Admin;Australia;10;Healthcare;48;Reset Credentials
SQL Injection;Email Server;Success;30:54.1;217.45.146.43;221.128.29.207;97.21;35;MFA;Contractor;UK;8;Government;115;Containment
Zero-Day Exploit;Database;Failure;12:27.1;198.219.127.243;111.13.194.105;35.45;243;SIEM;Contractor;France;9;Finance;151;Patch
DDoS;IoT Device;Success;35:31.1;235.118.251.156;39.216.209.53;70.92;239;IDS;Contractor;Australia;5;Retail;42;Quarantine
Cross-Site Scripting;IoT Device;Failure;59:31.1;79.180.4.66;183.168.146.201;55.16;241;MFA;Admin;Russia;5;Manufacturing;9;Patch
SQL Injection;Network Switch;Success;05:19.1;39.51.216.110;255.181.167.39;2.17;147;Endpoint Detection;Contractor;China;1;Finance;135;Containment
Cross-Site Scripting;Email Server;Success;17:57.1;74.117.60.244;16.178.147.62;68.83;157;Firewall;Admin;Brazil;1;Healthcare;1;Containment
Brute Force;User Account;Failure;03:22.1;24.135.51.76;38.223.53.235;11.32;239;VPN;Employee;Canada;7;Education;100;Patch
Brute Force;Email Server;Failure;44:06.1;205.167.195.182;79.68.151.177;70.08;3;MFA;External User;France;7;Finance;93;Patch
Ransomware;IoT Device;Failure;41:45.1;169.69.218.21;42.127.16.213;44.36;111;SIEM;Admin;China;5;Energy;64;Quarantine
Zero-Day Exploit;Web Server;Success;06:00.1;10.97.115.89;173.51.51.44;50.42;41;VPN;Admin;India;8;Manufacturing;124;Patch
Cross-Site Scripting;API;Failure;33:41.1;37.25.148.142;222.141.153.87;14.74;8;SIEM;Admin;Canada;1;Government;40;Quarantine
Brute Force;Web Server;Success;37:01.1;159.32.196.171;117.73.186.176;89.09;269;Endpoint Detection;External User;Brazil;6;Healthcare;9;Block IP
Malware;Cloud Service;Success;24:17.1;77.93.118.186;33.206.218.169;76.85;99;VPN;Contractor;UK;3;Retail;176;Block IP
Brute Force;Database;Failure;22:56.1;198.166.31.68;109.90.184.16;36.79;130;MFA;External User;UK;5;Retail;88;Patch
Phishing;Database;Success;16:56.1;225.27.235.26;152.80.191.4;80.63;29;IDS;Employee;UK;3;Energy;115;Reset Credentials
Phishing;Cloud Service;Failure;39:22.1;165.141.169.95;9.11.179.63;77.88;300;MFA;Admin;Australia;5;Retail;163;Containment
Zero-Day Exploit;API;Success;18:00.1;254.4.160.111;157.250.68.125;61.22;180;VPN;Contractor;China;3;Energy;161;Quarantine
Malware;API;Success;44:54.1;171.12.120.197;83.100.54.175;21.31;138;SIEM;Contractor;USA;8;Retail;58;Patch
Phishing;Cloud Service;Success;44:21.1;236.158.230.64;79.8.191.175;28.68;58;Endpoint Detection;Admin;Brazil;10;Retail;175;Reset Credentials
Cross-Site Scripting;Database;Success;13:47.1;245.23.77.150;235.11.63.13;21.59;141;IDS;Contractor;China;6;Manufacturing;101;Quarantine
Phishing;API;Success;57:12.1;107.103.91.32;61.210.76.15;81.61;107;WAF;Employee;India;6;Energy;80;Quarantine
Ransomware;API;Failure;05:04.1;48.179.53.206;116.7.168.238;30.46;188;MFA;Employee;Brazil;1;Education;116;Block IP
Cross-Site Scripting;API;Failure;19:32.1;100.195.161.212;56.123.56.253;76.84;68;SIEM;External User;China;4;Education;87;Reset Credentials
Zero-Day Exploit;Cloud Service;Failure;27:37.1;25.169.220.184;164.194.181.155;36.5;239;Antivirus;External User;India;2;Education;44;Reset Credentials
Phishing;API;Failure;41:17.1;91.52.214.192;135.57.59.212;99.84;284;VPN;External User;Australia;9;Energy;101;Quarantine
Ransomware;Email Server;Failure;03:48.1;117.63.199.59;31.125.121.202;90.11;113;SIEM;Admin;USA;3;Education;34;Reset Credentials
SQL Injection;Web Server;Failure;41:53.1;253.115.140.11;135.141.43.205;35.72;159;WAF;External User;USA;10;Government;46;Block IP
Phishing;Database;Failure;55:32.1;169.85.188.140;90.36.104.229;86.46;196;Antivirus;External User;UK;9;Manufacturing;82;Patch
Cross-Site Scripting;Database;Success;47:27.1;48.45.112.223;168.227.252.187;96.34;110;Endpoint Detection;Admin;UK;2;Healthcare;42;Containment
SQL Injection;IoT Device;Failure;01:18.1;148.56.142.240;79.21.69.115;93.25;290;IDS;Employee;UK;9;Manufacturing;153;Containment
Zero-Day Exploit;Network Switch;Success;07:49.1;198.143.21.16;42.225.95.8;62.75;30;VPN;External User;UK;4;Government;108;Patch
Malware;Network Switch;Success;31:14.1;185.80.132.167;49.30.251.108;19.9;264;Endpoint Detection;External User;Canada;8;Energy;72;Patch
SQL Injection;User Account;Success;40:50.1;255.25.17.206;203.207.115.41;66.61;162;Antivirus;External User;Germany;4;Finance;32;Block IP
Phishing;Cloud Service;Success;42:48.1;19.69.22.70;92.156.64.31;10.64;192;IDS;External User;India;4;Healthcare;68;Containment
Ransomware;Web Server;Success;19:31.1;235.164.88.155;68.233.146.41;68.21;63;Firewall;Admin;Russia;6;Government;21;Quarantine
SQL Injection;Email Server;Success;53:10.1;61.32.231.218;80.90.32.97;2.46;229;Antivirus;Contractor;France;6;Healthcare;70;Containment
Ransomware;IoT Device;Success;53:30.1;215.137.200.42;169.77.66.103;47.36;122;Endpoint Detection;Employee;UK;4;Manufacturing;101;Containment
Zero-Day Exploit;IoT Device;Success;26:09.1;140.118.122.188;12.35.101.24;84.38;65;VPN;External User;China;8;Education;68;Containment
Cross-Site Scripting;API;Failure;38:01.1;94.58.246.196;4.2.165.218;53.71;31;IDS;Contractor;China;3;Technology;40;Quarantine
Brute Force;Web Server;Success;46:21.1;26.130.26.200;110.128.29.208;80.8;68;Firewall;Contractor;UK;6;Government;158;Patch
Zero-Day Exploit;Web Server;Failure;55:58.1;218.57.140.133;226.36.73.145;32.92;39;VPN;Contractor;China;6;Healthcare;42;Patch
Malware;User Account;Success;16:07.1;222.60.20.78;103.142.4.50;83;239;VPN;External User;Germany;6;Government;153;Block IP
Cross-Site Scripting;Web Server;Success;53:59.1;79.170.204.240;68.229.140.102;0.09;145;Endpoint Detection;External User;Canada;1;Healthcare;52;Quarantine
Zero-Day Exploit;IoT Device;Success;29:04.1;141.180.216.106;7.94.140.46;38.74;4;MFA;Admin;Australia;10;Government;131;Reset Credentials
Malware;API;Failure;20:01.1;119.35.222.202;198.190.164.0;21.13;99;VPN;Admin;France;5;Manufacturing;131;Block IP
Phishing;Web Server;Success;12:59.1;253.151.107.127;252.116.135.177;71.68;212;VPN;External User;China;8;Energy;180;Quarantine
Brute Force;Cloud Service;Success;19:38.1;102.182.179.24;65.130.152.252;46.03;77;Antivirus;External User;India;5;Healthcare;180;Quarantine
SQL Injection;Network Switch;Success;46:57.1;13.87.82.235;51.122.218.140;14.86;152;IDS;Employee;Canada;5;Technology;98;Containment
Ransomware;IoT Device;Success;44:30.1;83.205.141.28;101.202.76.120;78.48;44;SIEM;Admin;UK;6;Manufacturing;89;Quarantine
DDoS;Web Server;Failure;21:46.1;160.83.132.111;240.192.140.87;64.49;61;Antivirus;Employee;Brazil;6;Technology;25;Containment
SQL Injection;Cloud Service;Success;11:30.1;68.154.33.96;227.176.242.239;36.74;285;WAF;Admin;UK;9;Education;166;Block IP
Zero-Day Exploit;Database;Failure;33:56.1;239.182.171.27;124.14.104.104;52.22;56;IDS;Admin;India;7;Retail;37;Quarantine
Phishing;Web Server;Failure;43:33.1;45.47.248.96;173.47.176.103;26.24;94;Antivirus;Contractor;India;1;Technology;93;Block IP
Malware;Email Server;Success;13:14.1;98.63.10.58;52.121.194.62;52.52;167;VPN;External User;Brazil;9;Energy;117;Block IP
Phishing;Web Server;Failure;58:06.1;59.253.189.82;85.28.235.26;8.41;65;Antivirus;Employee;Brazil;2;Energy;162;Reset Credentials
Zero-Day Exploit;Web Server;Success;38:05.1;24.38.247.4;56.97.197.89;45.5;196;IDS;External User;China;6;Healthcare;32;Block IP
SQL Injection;Web Server;Success;55:21.1;141.233.127.201;212.8.176.183;32.69;288;WAF;External User;France;6;Government;119;Block IP
Brute Force;API;Success;48:55.1;153.70.209.167;24.137.171.213;95.26;223;MFA;Contractor;China;8;Retail;2;Patch
DDoS;IoT Device;Failure;48:53.1;122.179.192.172;162.50.37.18;16.42;243;SIEM;Employee;Brazil;6;Manufacturing;19;Containment
Brute Force;Cloud Service;Failure;12:29.1;62.48.116.27;142.223.10.95;57.06;234;MFA;Admin;France;8;Education;85;Reset Credentials
Brute Force;API;Success;11:13.1;223.138.153.153;78.106.74.83;97.37;197;VPN;Contractor;USA;1;Education;178;Block IP
Zero-Day Exploit;IoT Device;Success;44:20.1;16.85.74.108;218.118.143.84;11.72;289;Firewall;Contractor;USA;8;Healthcare;111;Reset Credentials
SQL Injection;User Account;Failure;48:58.1;194.159.96.73;180.226.195.11;19.26;197;SIEM;Contractor;Canada;5;Education;105;Block IP
SQL Injection;User Account;Success;45:50.1;46.105.98.4;12.68.195.93;44.09;183;Endpoint Detection;Contractor;Canada;1;Energy;114;Reset Credentials
SQL Injection;IoT Device;Success;20:32.1;219.98.88.37;205.96.182.192;29.3;292;Firewall;Admin;Russia;4;Manufacturing;177;Containment
Cross-Site Scripting;Web Server;Failure;43:48.1;87.234.12.41;13.134.187.174;79.4;295;MFA;Contractor;France;2;Healthcare;163;Quarantine
Brute Force;Cloud Service;Success;26:24.1;170.81.215.37;237.76.84.231;94.45;154;Endpoint Detection;Contractor;India;5;Technology;174;Reset Credentials
Zero-Day Exploit;User Account;Failure;29:20.1;210.60.74.56;33.87.34.206;71.15;7;MFA;Contractor;Australia;5;Manufacturing;33;Block IP
Cross-Site Scripting;IoT Device;Failure;08:48.1;231.143.234.31;215.56.24.196;1.04;84;Endpoint Detection;External User;India;7;Education;139;Containment
DDoS;Web Server;Failure;07:32.1;3.180.190.192;69.56.240.190;56.63;148;IDS;Admin;Germany;9;Retail;98;Containment
Phishing;Cloud Service;Failure;53:24.1;249.64.33.214;42.81.76.220;23.67;203;SIEM;External User;India;6;Government;13;Patch
Malware;Cloud Service;Success;55:37.1;136.133.193.54;128.193.227.173;25.53;184;SIEM;External User;Brazil;3;Manufacturing;58;Containment
Brute Force;Email Server;Success;56:39.1;18.219.12.252;253.86.12.88;38.32;156;VPN;Admin;Canada;10;Energy;130;Patch
Zero-Day Exploit;Database;Failure;36:42.1;228.129.123.144;79.228.55.101;10.73;253;MFA;External User;Australia;9;Technology;145;Quarantine
Zero-Day Exploit;Network Switch;Success;45:34.1;40.122.218.253;126.220.24.9;38.02;186;WAF;External User;Brazil;6;Finance;27;Patch
Brute Force;Network Switch;Success;25:23.1;248.180.62.123;70.21.179.105;36.82;45;SIEM;Employee;USA;2;Government;141;Quarantine
Phishing;Web Server;Failure;44:40.1;173.21.204.204;155.48.123.152;3.28;17;WAF;Contractor;Russia;5;Finance;3;Block IP
SQL Injection;Email Server;Success;18:44.1;43.11.33.175;119.219.205.244;17.99;194;IDS;Employee;Australia;2;Finance;100;Containment
Brute Force;Network Switch;Success;30:58.1;154.187.253.184;36.171.6.12;9.21;78;Antivirus;Employee;Brazil;1;Finance;11;Containment
SQL Injection;Network Switch;Success;12:01.1;139.96.28.205;120.55.33.22;69.28;275;Firewall;Contractor;India;1;Retail;26;Patch
Phishing;Network Switch;Failure;57:26.1;57.149.127.192;60.78.236.111;9.48;120;MFA;Employee;USA;2;Retail;114;Block IP
Ransomware;API;Success;21:31.1;247.26.117.210;154.166.132.36;70.6;235;SIEM;Employee;China;7;Manufacturing;152;Quarantine
Cross-Site Scripting;Web Server;Success;49:07.1;154.24.241.10;144.39.101.180;11.99;222;VPN;Admin;France;4;Government;124;Containment
Brute Force;Network Switch;Success;33:18.1;89.60.115.179;6.37.235.36;8.43;94;Firewall;Employee;China;3;Technology;61;Block IP
Cross-Site Scripting;Cloud Service;Success;25:55.1;180.145.217.58;141.239.80.105;97.2;96;Antivirus;Admin;UK;9;Government;179;Block IP
Brute Force;Email Server;Success;14:50.1;231.103.1.106;174.146.195.36;59.23;23;IDS;Contractor;China;4;Retail;51;Patch
SQL Injection;Email Server;Failure;09:51.1;18.165.204.185;20.6.226.36;30.75;88;VPN;External User;India;5;Manufacturing;177;Block IP
Zero-Day Exploit;Email Server;Failure;05:51.1;247.153.119.137;67.208.162.200;86.4;225;VPN;External User;Australia;2;Manufacturing;123;Quarantine
Malware;Email Server;Success;10:23.1;243.204.7.192;212.140.118.44;5.95;229;Endpoint Detection;Contractor;Brazil;8;Healthcare;15;Containment
Cross-Site Scripting;Email Server;Success;28:08.1;180.112.0.249;239.250.75.71;71.34;14;IDS;Employee;Germany;7;Retail;107;Patch
SQL Injection;Network Switch;Success;44:22.1;175.88.209.57;77.246.164.195;14.05;279;SIEM;External User;France;4;Manufacturing;169;Containment
DDoS;API;Failure;26:12.1;215.29.154.70;111.136.82.34;49.98;247;WAF;Contractor;Germany;5;Manufacturing;38;Block IP
Cross-Site Scripting;Network Switch;Failure;09:00.1;78.75.187.119;251.8.117.160;77.14;149;SIEM;Admin;Brazil;2;Healthcare;36;Containment
Cross-Site Scripting;Database;Success;18:31.1;170.48.231.213;177.147.40.218;28.74;271;WAF;Employee;USA;3;Healthcare;40;Reset Credentials
Zero-Day Exploit;Database;Success;06:43.1;248.50.156.75;127.129.121.223;62.82;14;WAF;Employee;UK;9;Education;43;Quarantine
Zero-Day Exploit;User Account;Failure;07:33.1;117.26.89.206;246.51.139.249;47.17;109;VPN;Contractor;USA;10;Government;114;Containment
Malware;Web Server;Failure;22:39.1;240.119.230.4;127.131.141.67;13.89;35;VPN;External User;China;1;Government;55;Quarantine
Phishing;User Account;Success;08:58.1;71.75.98.91;167.6.22.102;47.48;209;MFA;Admin;Canada;7;Energy;40;Quarantine
Phishing;Cloud Service;Success;02:12.1;23.111.248.36;114.70.201.93;44.65;80;Antivirus;Employee;Australia;4;Education;84;Patch
SQL Injection;User Account;Success;41:49.1;170.148.60.176;14.65.252.243;54.95;255;IDS;Employee;Germany;9;Manufacturing;84;Quarantine
